id,category,question,optionA,optionB,optionC,optionD,correctAnswer,explanation,level
1976,Art,"Who painted ""Starry Night""?",Claude Monet,Vincent van Gogh,Paul Cezanne,Henri Matisse,B,Vincent van Gogh painted The Starry Night,Easy
1979,Math,What is 100 ÷ 4?,20,25,30,35,B,100 divided by 4 equals 25,Easy
1982,Sports,How many periods are in a hockey game?,2,3,4,5,B,Hockey games have three periods,Easy
1983,Technology,What does WWW stand for?,World Wide Web,World Web Wide,Wide World Web,Web World Wide,A,WWW stands for World Wide Web,Easy
1986,Animals,How many legs does a spider have?,6,7,8,10,C,All spiders have eight legs,Easy
1987,Art,Which color is created by mixing red and blue?,Purple,Orange,Green,Yellow,A,Red and blue mixed together create purple,Easy
1990,Math,What is 6 × 9?,52,54,56,58,B,6 × 9 = 54,Easy
1993,Sports,What is a home run with bases loaded called?,Grand slam,Perfect game,Hat trick,Cycle,A,A grand slam is a home run with all bases occupied,Easy
1994,Technology,What does USB stand for?,Universal Serial Bus,United System Bus,Universal System Bus,United Serial Bus,A,USB stands for Universal Serial Bus,Easy
1997,Animals,What do you call a baby kangaroo?,Cub,Pup,Joey,Kit,C,A baby kangaroo is called a joey,Easy
1998,Art,Which museum is located in New York City?,Louvre,British Museum,Metropolitan Museum,Prado,C,The Metropolitan Museum of Art is in New York,Easy
2001,Science,What is the process by which cells divide to create identical copies called?,Meiosis,Mitosis,Binary fission,Budding,B,Mitosis creates two identical diploid cells from one parent cell,Medium
2002,Science,Which element has the highest atomic number that occurs naturally?,Uranium,Plutonium,Radium,Thorium,A,Uranium with atomic number 92 is the highest naturally occurring element,Medium
2003,Science,What is the name of the protein that gives skin its strength and elasticity?,Keratin,Collagen,Elastin,Fibrin,B,Collagen provides structural support to skin and other tissues,Medium
2004,Science,Which part of the brain is responsible for regulating hormones?,Cerebrum,Cerebellum,Hypothalamus,Medulla,C,The hypothalamus controls hormone production and release,Medium
2005,Science,What is the term for the study of the relationship between living organisms and their environment?,Ecology,Biology,Zoology,Botany,A,Ecology studies interactions between organisms and their environment,Medium
2006,Science,Which type of chemical bond involves the sharing of electron pairs?,Ionic,Covalent,Metallic,Hydrogen,B,Covalent bonds form when atoms share electrons,Medium
2007,Science,What is the name of the process where rocks change form due to heat and pressure?,Erosion,Weathering,Metamorphism,Sedimentation,C,Metamorphism transforms rocks under heat and pressure,Medium
2008,Science,Which organ system is responsible for transporting nutrients and oxygen?,Respiratory,Digestive,Circulatory,Nervous,C,The circulatory system transports materials throughout the body,Medium
2009,Science,What is the term for animals that are active during dawn and dusk?,Diurnal,Nocturnal,Crepuscular,Cathemeral,C,Crepuscular animals are most active during twilight hours,Medium
2010,Science,Which gas makes up the largest percentage of Mars' atmosphere?,Oxygen,Nitrogen,Carbon dioxide,Argon,C,Mars' atmosphere is about 95% carbon dioxide,Medium
2011,Science,What is the study of the immune system called?,Immunology,Hematology,Pathology,Microbiology,A,Immunology studies the body's defense mechanisms,Medium
2012,Science,Which process converts atmospheric nitrogen into compounds plants can use?,Nitrogen fixation,Denitrification,Nitrification,Ammonification,A,Nitrogen fixation converts N2 gas into ammonia or nitrates,Medium
2013,Science,What is the term for the boundary between two tectonic plates?,Fault line,Ridge,Trench,Transform boundary,A,Fault lines mark the boundaries between tectonic plates,Medium
2014,Science,Which type of muscle tissue is found in the walls of blood vessels?,Skeletal,Cardiac,Smooth,Striated,C,Smooth muscle lines blood vessels and organs,Medium
2015,Science,What is the name of the effect where moving charges create magnetic fields?,Electromagnetic induction,Faraday effect,Lorentz force,Hall effect,A,Moving electric charges produce magnetic fields through electromagnetic induction,Medium
2016,Science,Which part of the cell cycle involves DNA replication?,G1 phase,S phase,G2 phase,M phase,B,DNA replication occurs during the S synthesis phase,Medium
2017,Science,What is the term for organisms that can survive in extreme environments?,Extremophiles,Mesophiles,Thermophiles,Halophiles,A,Extremophiles thrive in conditions lethal to most life,Medium
2018,Science,Which hormone is responsible for regulating sleep-wake cycles?,Melatonin,Serotonin,Dopamine,Cortisol,A,Melatonin regulates circadian rhythms and sleep patterns,Medium
2019,Science,What is the process by which plants transport water from roots to leaves?,Transpiration,Osmosis,Diffusion,Active transport,A,Transpiration pulls water up through the plant's vascular system,Medium
2020,Science,Which type of reproduction results in offspring with genetic variation?,Asexual,Sexual,Vegetative,Clonal,B,Sexual reproduction combines genetic material from two parents,Medium
2021,Science,What is the study of the structure and function of proteins called?,Genomics,Proteomics,Metabolomics,Transcriptomics,B,Proteomics studies protein structure function and interactions,Medium
2022,Science,Which process removes metabolic waste from the blood?,Filtration,Secretion,Excretion,All of above,D,The kidneys use filtration secretion and reabsorption for waste removal,Medium
2023,Science,What is the term for the energy required to start a chemical reaction?,Activation energy,Kinetic energy,Potential energy,Thermal energy,A,Activation energy is the minimum energy needed to initiate reactions,Medium
2024,Science,Which part of the electromagnetic spectrum is used in medical imaging?,Visible light,Infrared,X-rays,Radio waves,C,X-rays penetrate tissue and are used for medical imaging,Medium
2025,Science,What is the process by which organisms maintain stable internal conditions?,Homeostasis,Metabolism,Reproduction,Growth,A,Homeostasis maintains internal balance despite external changes,Medium
2026,Science,Which type of cell division produces gametes with half the chromosome number?,Mitosis,Meiosis,Binary fission,Fragmentation,B,Meiosis produces haploid gametes for sexual reproduction,Medium
2027,Science,What is the term for the study of how genes are expressed?,Genetics,Genomics,Epigenetics,Proteomics,C,Epigenetics studies gene expression without DNA sequence changes,Medium
2028,Science,Which process allows materials to move against concentration gradients?,Passive transport,Active transport,Diffusion,Osmosis,B,Active transport uses energy to move substances against gradients,Medium
2029,Science,What is the name of the theory explaining how species change over time?,Creationism,Evolution,Intelligent design,Lamarckism,B,Evolution explains how species change through natural selection,Medium
2030,Science,Which type of chemical reaction absorbs energy from surroundings?,Exothermic,Endothermic,Catalytic,Spontaneous,B,Endothermic reactions absorb heat from their surroundings,Medium
2032,Math,What is the formula for the area of a triangle?,base × height,½ × base × height,base + height ÷ 2,2 × base × height,B,Triangle area equals half the base times height,Medium
2035,Sports,In which sport would you perform a slam dunk?,Volleyball,Basketball,Tennis,Badminton,B,Slam dunks are performed in basketball,Medium
2036,Technology,What does HTML stand for?,HyperText Markup Language,High Tech Markup Language,HyperText Modern Language,Home Tool Markup Language,A,HTML stands for HyperText Markup Language,Medium
2039,Animals,What is the gestation period of an African elephant?,12 months,18 months,22 months,24 months,C,African elephants have a 22-month gestation period,Medium
2040,Art,Which art movement focused on depicting light and its changing qualities?,Romanticism,Impressionism,Expressionism,Surrealism,B,Impressionism emphasized light and its effects on color,Medium
2043,Math,What is the sum of interior angles in a pentagon?,360°,540°,720°,900°,B,A pentagon's interior angles sum to 540 degrees,Medium
2046,Sports,What is the standard distance of a marathon?,24.2 miles,25.2 miles,26.2 miles,27.2 miles,C,A marathon is 26.2 miles or 42.195 kilometers,Medium
2047,Technology,What does CSS stand for in web development?,Computer Style Sheets,Cascading Style Sheets,Creative Style Sheets,Coded Style Sheets,B,CSS stands for Cascading Style Sheets,Medium
2050,Animals,Which mammal has the longest migration route?,Gray whale,Caribou,Wildebeest,Arctic tern,D,Arctic terns migrate from Arctic to Antarctic annually,Medium
2051,Art,"Who painted ""The Birth of Venus""?",Leonardo da Vinci,Michelangelo,Sandro Botticelli,Raphael,C,Sandro Botticelli painted The Birth of Venus around 1485,Medium
2054,Math,What is the circumference of a circle with radius 7?,14π,7π,21π,49π,A,Circumference = 2πr = 2π(7) = 14π,Medium
2057,Sports,In golf what is an eagle?,One under par,Two under par,Three under par,Hole in one,B,An eagle is two strokes under par for a hole,Medium
2058,Technology,What does VPN stand for?,Virtual Private Network,Very Private Network,Visual Private Network,Verified Private Network,A,VPN stands for Virtual Private Network,Medium
2061,Animals,What is the only mammal capable of sustained flight?,Flying squirrel,Sugar glider,Bat,Flying lemur,C,Bats are the only mammals with powered flight,Medium
2062,Art,Which technique creates the illusion of depth on a flat surface?,Chiaroscuro,Sfumato,Perspective,Impasto,C,Perspective creates the appearance of three-dimensional space,Medium
2065,Math,What is the value of π (pi) to three decimal places?,3.141,3.142,3.143,3.144,B,Pi equals approximately 3.142 to three decimal places,Medium
2068,Sports,How many players are on a water polo team in the pool?,6,7,8,9,B,Water polo teams have 7 players in the water at once,Medium
2069,Technology,What does API stand for?,Application Programming Interface,Advanced Programming Interface,Automated Programming Interface,Applied Programming Interface,A,API stands for Application Programming Interface,Medium
2072,Animals,Which bird has the largest wingspan?,Condor,Albatross,Eagle,Pelican,B,The wandering albatross has the largest wingspan,Medium
2073,Art,What art movement did Pablo Picasso co-found?,Impressionism,Cubism,Surrealism,Expressionism,B,Pablo Picasso co-founded the Cubist movement,Medium
2076,Math,What is the derivative of x³?,3x,3x²,x²,x³,B,The derivative of x³ is 3x² using the power rule,Medium
2079,Sports,What is the maximum number of sets in a men's tennis Grand Slam match?,3,4,5,6,C,Men's Grand Slam matches are best of 5 sets,Medium
2080,Technology,What does SQL stand for?,Structured Query Language,Simple Query Language,Standard Query Language,System Query Language,A,SQL stands for Structured Query Language,Medium
2083,Animals,How many hearts does an octopus have?,1,2,3,4,C,Octopuses have three hearts to pump blood,Medium
2084,Art,Which Renaissance artist painted the ceiling of the Sistine Chapel?,Leonardo da Vinci,Michelangelo,Raphael,Donatello,B,Michelangelo painted the Sistine Chapel ceiling,Medium
2087,Math,What is 35% of 200?,60,65,70,75,C,35% of 200 = 0.35 × 200 = 70,Medium
2090,Sports,How many minutes are in a soccer half?,40,45,50,60,B,Each half of a soccer match is 45 minutes,Medium
2091,Technology,What does HTTPS stand for?,HyperText Transfer Protocol Secure,High Tech Transfer Protocol Secure,HyperText Transport Protocol Secure,Home Text Transfer Protocol Secure,A,HTTPS stands for HyperText Transfer Protocol Secure,Medium
2094,Animals,What is the largest species of penguin?,Emperor penguin,King penguin,Adelie penguin,Chinstrap penguin,A,Emperor penguins are the largest penguin species,Medium
2095,Art,What technique did pointillist painters use?,Large brush strokes,Small dots of color,Watercolor washes,Palette knife,B,Pointillists applied paint in small distinct dots,Medium
2098,Math,What is the area of a circle with radius 5?,25π,10π,5π,π,A,Area of circle = πr² = π(5)² = 25π,Medium
2101,Science,What is the term for the study of the origin and evolution of the universe?,Cosmology,Astronomy,Astrophysics,Astrobiology,A,Cosmology studies the origin structure and evolution of the universe,Hard
2102,Science,Which process describes the spontaneous decay of unstable atomic nuclei?,Nuclear fission,Nuclear fusion,Radioactive decay,Beta decay,C,Radioactive decay is the spontaneous breakdown of unstable nuclei,Hard
2103,Science,What is the name of the boundary around a black hole beyond which nothing can escape?,Event horizon,Photon sphere,Ergosphere,Schwarzschild radius,A,The event horizon marks the point of no return around black holes,Hard
2104,Science,Which principle states that it's impossible to simultaneously know both position and momentum of a particle?,Pauli exclusion principle,Heisenberg uncertainty principle,Schrödinger's equation,Wave-particle duality,B,Heisenberg's uncertainty principle limits simultaneous measurement precision,Hard
2105,Science,What is the term for genes that are expressed only when two copies are present?,Dominant,Recessive,Codominant,Incomplete dominant,B,Recessive genes require two copies to be expressed in the phenotype,Hard
2106,Science,Which type of RNA is responsible for bringing amino acids to the ribosome?,mRNA,tRNA,rRNA,snRNA,B,Transfer RNA carries amino acids to ribosomes during protein synthesis,Hard
2107,Science,What is the name of the effect where time passes slower in stronger gravitational fields?,Time dilation,Gravitational lensing,Redshift,Doppler effect,A,Gravitational time dilation occurs in strong gravitational fields,Hard
2108,Science,Which organelle is responsible for autophagy in cells?,Lysosome,Peroxisome,Golgi apparatus,Endoplasmic reticulum,A,Lysosomes digest cellular waste and perform autophagy,Hard
2109,Science,What is the term for the study of the chemical processes within living organisms?,Biochemistry,Molecular biology,Cell biology,Biophysics,A,Biochemistry focuses on chemical reactions in biological systems,Hard
2110,Science,Which law describes the relationship between gas pressure temperature and volume?,Boyle's law,Charles' law,Ideal gas law,Gay-Lussac's law,C,The ideal gas law combines pressure volume and temperature relationships,Hard
2111,Science,What is the name of the process where light energy is converted to chemical energy?,Photosynthesis,Chemosynthesis,Cellular respiration,Fermentation,A,Photosynthesis converts light energy into chemical energy in glucose,Hard
2112,Science,Which structure in the ear is responsible for balance?,Cochlea,Semicircular canals,Eustachian tube,Tympanic membrane,B,The semicircular canals detect rotational movement and balance,Hard
2113,Science,What is the term for the study of the immune system's response to foreign substances?,Immunology,Allergology,Serology,Hematology,A,Immunology studies immune responses including allergic reactions,Hard
2114,Science,Which type of chemical bond is the strongest?,Ionic bond,Covalent bond,Metallic bond,Hydrogen bond,B,Covalent bonds typically have the highest bond energy,Hard
2115,Science,What is the name of the process where cells consume their own components?,Autophagy,Apoptosis,Phagocytosis,Endocytosis,A,Autophagy allows cells to recycle their own damaged components,Hard
2116,Science,Which principle explains why atoms bond to achieve stable electron configurations?,Octet rule,Aufbau principle,Hund's rule,Pauli exclusion principle,A,The octet rule drives atoms to achieve eight valence electrons,Hard
2117,Science,What is the term for the study of how organisms interact with their environment?,Ecology,Ethology,Behavioral ecology,Environmental biology,A,Ecology studies relationships between organisms and their environment,Hard
2118,Science,Which process allows bacteria to exchange genetic material?,Binary fission,Conjugation,Transformation,Transduction,B,Bacterial conjugation transfers genetic material between cells,Hard
2119,Science,What is the name of the effect where particles can exist in multiple states simultaneously?,Superposition,Entanglement,Tunneling,Interference,A,Quantum superposition allows particles to exist in multiple states,Hard
2120,Science,Which enzyme is responsible for unwinding DNA during replication?,DNA polymerase,Helicase,Ligase,Primase,B,Helicase unwinds the double helix during DNA replication,Hard
2121,Science,What is the term for the study of the Earth's magnetic field?,Paleomagnetism,Geomagnetism,Magnetostratigraphy,Magnetic declination,B,Geomagnetism studies Earth's magnetic field and its variations,Hard
2122,Science,Which process describes the movement of electrons through a conductor?,Electric current,Electric potential,Electric field,Electric charge,A,Electric current is the flow of electrons through a conductor,Hard
2123,Science,What is the name of the theory that describes the behavior of matter at the atomic level?,Classical mechanics,Quantum mechanics,Thermodynamics,Statistical mechanics,B,Quantum mechanics describes atomic and subatomic particle behavior,Hard
2124,Science,Which type of cell division reduces chromosome number by half?,Mitosis,Meiosis,Binary fission,Cytokinesis,B,Meiosis produces haploid gametes with half the chromosome number,Hard
2125,Science,What is the term for the study of the structure and function of the nervous system?,Neuroscience,Psychology,Psychiatry,Neurology,A,Neuroscience encompasses the study of the entire nervous system,Hard
2126,Science,Which process describes the formation of new species?,Speciation,Evolution,Natural selection,Genetic drift,A,Speciation is the evolutionary process forming new species,Hard
2127,Science,What is the name of the principle that energy cannot be created or destroyed?,Conservation of energy,Conservation of momentum,Conservation of mass,Thermodynamic equilibrium,A,The first law of thermodynamics states energy conservation,Hard
2128,Science,Which structure in plants is responsible for gas exchange?,Stomata,Chloroplasts,Xylem,Phloem,A,Stomata are pores that allow gas exchange in plant leaves,Hard
2129,Science,What is the term for the study of how drugs affect living organisms?,Pharmacology,Toxicology,Pathology,Physiology,A,Pharmacology studies drug actions and effects on organisms,Hard
2130,Science,Which process describes the loss of electrons from an atom?,Reduction,Oxidation,Ionization,Neutralization,B,Oxidation involves the loss of electrons from atoms or molecules,Hard
2132,Math,What is the integral of sin(x) dx?,cos(x) + C,-cos(x) + C,sin(x) + C,-sin(x) + C,B,The integral of sin(x) is -cos(x) + C,Hard
2135,Sports,What is the term for scoring three goals in one hockey game?,Hat trick,Triple play,Perfect game,Grand slam,A,A hat trick is three goals by one player in one game,Hard
2136,Technology,What does TCP stand for in networking?,Transfer Control Protocol,Transmission Control Protocol,Transport Control Protocol,Terminal Control Protocol,B,TCP stands for Transmission Control Protocol,Hard
2139,Animals,Which mammal has the highest blood pressure?,Elephant,Giraffe,Blue whale,Rhinoceros,B,Giraffes have the highest blood pressure due to their height,Hard
2140,Art,Which art movement was characterized by dream-like imagery and the unconscious mind?,Dadaism,Surrealism,Abstract Expressionism,Futurism,B,Surrealism explored dreams and the unconscious mind,Hard
2143,Math,What is the sum of the series 1 + 1/2 + 1/4 + 1/8 + ... to infinity?,1,1.5,2,Infinity,C,This geometric series converges to 2,Hard
2146,Sports,In which year were the first modern Olympic Games held?,1892,1894,1896,1898,C,The first modern Olympics were held in Athens in 1896,Hard
2147,Technology,What does JSON stand for?,JavaScript Object Notation,Java Standard Object Notation,JavaScript Ordered Notation,Java Serialized Object Notation,A,JSON stands for JavaScript Object Notation,Hard
2150,Animals,Which bird can fly backwards?,Hummingbird,Kingfisher,Swallow,Swift,A,Hummingbirds are the only birds that can fly backwards,Hard
2151,Art,"Who painted ""Las Meninas""?",El Greco,Diego Velázquez,Francisco Goya,Pablo Picasso,B,Diego Velázquez painted Las Meninas in 1656,Hard
2154,Math,What is the value of e (Euler's number) to four decimal places?,2.7182,2.7183,2.7184,2.7185,A,Euler's number e equals approximately 2.7182818...,Hard
2157,Sports,What is the regulation height of a basketball hoop?,9 feet,9.5 feet,10 feet,10.5 feet,C,Basketball hoops are 10 feet (3.05 meters) high,Hard
2158,Technology,What does AJAX stand for in web development?,Asynchronous JavaScript and XML,Advanced JavaScript and XML,Automatic JavaScript and XML,Active JavaScript and XML,A,AJAX stands for Asynchronous JavaScript and XML,Hard
2161,Animals,Which animal has the longest gestation period?,Elephant,Giraffe,Rhinoceros,Hippopotamus,A,African elephants have a 22-month gestation period,Hard
2162,Art,Which technique creates the illusion of texture in painting?,Sfumato,Chiaroscuro,Impasto,Trompe-l'oeil,C,Impasto technique creates textural effects with thick paint,Hard
2165,Math,What is the derivative of e^x?,e^x,xe^(x-1),ln(x),1/x,A,The derivative of e^x is e^x itself,Hard
2168,Sports,In which sport is the Davis Cup awarded?,Golf,Tennis,Cricket,Rugby,B,The Davis Cup is awarded in men's tennis,Hard
2169,Technology,What does REST stand for in web services?,Representational State Transfer,Remote State Transfer,Resource State Transfer,Relational State Transfer,A,REST stands for Representational State Transfer,Hard
2172,Animals,Which fish is considered living fossil?,Shark,Coelacanth,Sturgeon,Gar,B,The coelacanth was thought extinct until rediscovered in 1938,Hard
2173,Art,"Who sculpted ""The Thinker""?",Michelangelo,Auguste Rodin,Donatello,Bernini,B,Auguste Rodin sculpted The Thinker,Hard
2176,Math,What is the limit of (1 + 1/n)^n as n approaches infinity?,1,e,π,∞,B,This limit equals e (Euler's number),Hard
2179,Sports,What is the maximum break possible in snooker?,147,150,155,160,A,The maximum break in snooker is 147 points,Hard
2180,Technology,What does CRUD stand for in database operations?,Create Read Update Delete,Create Retrieve Update Delete,Copy Read Update Delete,Create Read Upload Delete,A,CRUD stands for Create Read Update Delete,Hard
2181,Science,What is the term for the force that keeps planets in orbit around the sun?,Magnetic force,Gravitational force,Nuclear force,Electromagnetic force,B,Gravitational force provides the centripetal force needed for orbital motion,Easy
2182,Science,Which gas is produced when metals react with acids?,Oxygen,Hydrogen,Carbon dioxide,Nitrogen,B,Metals typically produce hydrogen gas when reacting with acids,Easy
2183,Science,What is the basic unit of electric current?,Volt,Ampere,Ohm,Watt,B,The ampere measures the flow of electric charge per second,Easy
2184,Science,Which type of reproduction involves spores?,Sexual,Asexual,Binary fission,Fragmentation,B,Many fungi and plants reproduce asexually through spores,Easy
2185,Science,What is the study of fish called?,Ornithology,Ichthyology,Herpetology,Entomology,B,Ichthyology is the branch of zoology that studies fish,Easy
2186,Science,Which organ produces red blood cells in adults?,Liver,Spleen,Bone marrow,Kidneys,C,Bone marrow is the primary site of red blood cell production,Easy
2187,Science,What type of energy is possessed by a book on a shelf?,Kinetic,Potential,Chemical,Nuclear,B,Objects at height possess gravitational potential energy,Easy
2188,Science,Which gas is used in fire extinguishers?,Oxygen,Carbon dioxide,Nitrogen,Helium,B,Carbon dioxide displaces oxygen and suppresses fires,Easy
2189,Science,What is the process of water vapor changing to liquid called?,Evaporation,Condensation,Sublimation,Precipitation,B,Condensation occurs when water vapor cools and becomes liquid,Easy
2190,Science,Which planet has the most circular orbit?,Earth,Mars,Venus,Mercury,C,Venus has the most circular orbit of all planets,Easy
2191,Science,What is the term for animals that eat only meat?,Herbivores,Carnivores,Omnivores,Detritivores,B,Carnivores are animals that feed exclusively on meat,Easy
2192,Science,Which part of the plant is responsible for reproduction?,Roots,Stem,Leaves,Flowers,D,Flowers contain the reproductive organs of flowering plants,Easy
2193,Science,What process allows organisms to maintain stable internal conditions?,Evolution,Homeostasis,Adaptation,Metabolism,B,Homeostasis maintains stable internal environmental conditions,Easy
2194,Science,Which type of rock forms from cooled lava?,Sedimentary,Metamorphic,Igneous,Limestone,C,Igneous rocks form when molten rock cools and solidifies,Easy
2195,Science,What is the main function of white blood cells?,Carry oxygen,Fight infection,Clot blood,Transport nutrients,B,White blood cells are part of the immune system,Easy
2196,Science,Which gas makes up the second largest portion of Earth's atmosphere?,Oxygen,Carbon dioxide,Argon,Nitrogen,A,Oxygen makes up about 21% of Earth's atmosphere,Easy
2197,Science,What is the study of the structure of living things called?,Physiology,Anatomy,Biology,Zoology,B,Anatomy studies the structure and organization of organisms,Easy
2198,Science,Which force opposes the motion of objects through air?,Friction,Gravity,Air resistance,Magnetism,C,Air resistance opposes motion through the atmosphere,Easy
2199,Science,What is the term for the ability to do work?,Power,Energy,Force,Momentum,B,Energy is defined as the capacity to do work,Easy
2200,Science,Which organ controls body temperature in humans?,Heart,Brain,Liver,Lungs,B,The brain's hypothalamus regulates body temperature,Easy
2201,Science,What type of animal is a jellyfish?,Fish,Mollusc,Cnidarian,Crustacean,C,Jellyfish belong to the phylum Cnidaria,Easy
2202,Science,Which process converts food into energy in cells?,Photosynthesis,Cellular respiration,Digestion,Absorption,B,Cellular respiration breaks down glucose to produce ATP,Easy
2203,Science,What is the hardest substance produced by living organisms?,Bone,Tooth enamel,Keratin,Chitin,B,Tooth enamel is the hardest biological material,Easy
2204,Science,Which planet is known for having a tilted ring system?,Saturn,Jupiter,Uranus,Neptune,C,Uranus has rings that are tilted at 90 degrees,Easy
2205,Science,What is the term for the loss of water from plant leaves?,Transpiration,Photosynthesis,Respiration,Osmosis,A,Transpiration is water loss through leaf pores,Easy
2206,Science,Which type of cell lacks a nucleus?,Prokaryotic,Eukaryotic,Plant cell,Animal cell,A,Prokaryotic cells like bacteria have no membrane-bound nucleus,Easy
2207,Science,What is the study of the behavior of animals called?,Ethology,Ecology,Zoology,Psychology,A,Ethology is the scientific study of animal behavior,Easy
2208,Science,Which gas is essential for cellular respiration?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,B,Oxygen is required for cellular respiration in most organisms,Easy
2209,Science,What is the term for the change of state from solid to gas?,Melting,Evaporation,Sublimation,Condensation,C,Sublimation is the direct transition from solid to gas,Easy
2210,Science,Which organ in fish extracts oxygen from water?,Lungs,Gills,Heart,Liver,B,Gills allow fish to extract dissolved oxygen from water,Easy
2211,Science,What type of lens is used to correct nearsightedness?,Convex,Concave,Bifocal,Progressive,B,Concave lenses diverge light rays to correct myopia,Easy
2212,Science,Which element is essential for photosynthesis?,Iron,Magnesium,Calcium,Potassium,B,Magnesium is at the center of chlorophyll molecules,Easy
2213,Science,What is the term for the measure of how acidic or basic a solution is?,pH,Temperature,Density,Viscosity,A,pH measures hydrogen ion concentration,Easy
2214,Science,Which type of blood vessel has the thinnest walls?,Artery,Vein,Capillary,Arteriole,C,Capillaries have walls only one cell thick,Easy
2215,Science,What is the process by which plants bend toward light called?,Phototropism,Geotropism,Thigmotropism,Chemotropism,A,Phototropism is growth in response to light direction,Easy
2216,Science,Which planet has the most extreme temperature variations?,Mercury,Venus,Mars,Jupiter,A,Mercury experiences the greatest temperature range,Easy
2217,Science,What is the term for the protective layer around the Earth?,Atmosphere,Magnetosphere,Ozone layer,Ionosphere,A,The atmosphere protects Earth from space radiation,Easy
2218,Science,Which type of muscle is voluntary?,Smooth,Cardiac,Skeletal,Involuntary,C,Skeletal muscles are under conscious control,Easy
2219,Science,What is the study of heredity and variation called?,Evolution,Genetics,Ecology,Taxonomy,B,Genetics studies inherited traits and their variation,Easy
2220,Science,Which gas is produced by plants at night?,Oxygen,Carbon dioxide,Nitrogen,Water vapor,B,Plants release CO2 during nighttime respiration,Easy
2221,Science,What is the term for the bending of light as it passes through different materials?,Reflection,Refraction,Diffraction,Interference,B,Refraction occurs when light changes speed in different media,Easy
2222,Science,Which organ system removes waste products from the blood?,Respiratory,Digestive,Excretory,Circulatory,C,The excretory system eliminates metabolic wastes,Easy
2223,Science,What type of animal is a starfish?,Fish,Mollusc,Echinoderm,Cnidarian,C,Starfish belong to the phylum Echinodermata,Easy
2224,Science,Which process allows organisms to sense their environment?,Photosynthesis,Respiration,Sensation,Reproduction,C,Sensation enables organisms to detect environmental changes,Easy
2225,Science,What is the term for the study of fungi?,Mycology,Virology,Bacteriology,Pathology,A,Mycology is the branch of biology studying fungi,Easy
2226,Science,Which gas is released during photosynthesis?,Carbon dioxide,Nitrogen,Oxygen,Hydrogen,C,Photosynthesis produces oxygen as a byproduct,Easy
2227,Science,What is the smallest particle of a compound?,Atom,Ion,Molecule,Element,C,Molecules are the smallest units of chemical compounds,Easy
2228,Science,Which type of reproduction results in genetic diversity?,Asexual,Sexual,Binary fission,Budding,B,Sexual reproduction creates genetic variation,Easy
2229,Science,What is the term for the study of the ocean floor?,Oceanography,Marine geology,Bathymetry,Hydrology,C,Bathymetry studies underwater topography,Easy
2230,Science,Which organ produces digestive juices in humans?,Heart,Pancreas,Kidney,Spleen,B,The pancreas produces enzymes for digestion,Easy
2231,Science,What type of energy is stored in a compressed spring?,Kinetic,Potential,Chemical,Thermal,B,Compressed springs store elastic potential energy,Easy
2232,Science,Which planet has the strongest gravity?,Earth,Jupiter,Saturn,Neptune,B,Jupiter has the strongest gravitational field,Easy
2233,Science,What is the term for the movement of air masses?,Weather,Climate,Wind,Pressure,C,Wind is the movement of air from high to low pressure,Easy
2234,Science,Which type of cell division produces identical cells?,Mitosis,Meiosis,Binary fission,Both A and C,D,Both mitosis and binary fission produce identical cells,Easy
2235,Science,What is the study of the Earth's physical features called?,Geography,Geology,Topography,Cartography,C,Topography studies Earth's surface features,Easy
2236,Science,Which gas is used by plants during photosynthesis?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,C,Plants use CO2 from the atmosphere for photosynthesis,Easy
2237,Science,What is the term for the protective covering of the brain?,Skull,Meninges,Cranium,Cortex,B,Meninges are the protective membranes around the brain,Easy
2238,Science,Which type of organism breaks down dead material?,Producer,Consumer,Decomposer,Predator,C,Decomposers break down dead organic matter,Easy
2239,Science,What is the study of the classification of living things called?,Ecology,Taxonomy,Evolution,Genetics,B,Taxonomy classifies and names organisms,Easy
2240,Science,Which force acts on all objects with mass?,Electromagnetic,Nuclear,Gravitational,Friction,C,Gravity affects all objects with mass,Easy
2241,Science,What is the term for the change from liquid to gas at the boiling point?,Evaporation,Vaporization,Sublimation,Condensation,B,Vaporization occurs at the boiling point,Easy
2242,Science,Which organ system transports materials throughout the body?,Nervous,Respiratory,Circulatory,Digestive,C,The circulatory system transports blood and nutrients,Easy
2243,Science,What type of animal is a sea urchin?,Mollusc,Crustacean,Echinoderm,Cnidarian,C,Sea urchins are echinoderms like starfish,Easy
2244,Science,Which process allows plants to make their own food?,Respiration,Photosynthesis,Digestion,Absorption,B,Photosynthesis converts light energy into chemical energy,Easy
2245,Science,What is the term for the study of motion?,Kinematics,Dynamics,Statics,Mechanics,A,Kinematics describes motion without considering forces,Easy
2246,Science,Which gas is produced when organic matter decomposes?,Oxygen,Methane,Nitrogen,Helium,B,Decomposition produces methane and other gases,Easy
2247,Science,What is the basic unit of life?,Atom,Cell,Tissue,Organ,B,Cells are the fundamental units of living organisms,Easy
2248,Science,Which type of wave can travel through empty space?,Sound,Water,Light,Seismic,C,Light waves are electromagnetic and need no medium,Easy
2249,Science,What is the term for the study of earthquakes?,Volcanology,Seismology,Meteorology,Hydrology,B,Seismology studies earthquakes and seismic waves,Easy
2250,Science,Which organ controls voluntary movements?,Brain,Heart,Lungs,Liver,A,The brain controls conscious muscle movements,Easy
